seqnames	start	end	width	strand	promoterId	geneId	internalPromoter
chr8	135523325	135523325	1	-	prmtr.5002	ENSG00000066827.11	FALSE
chr8	135577914	135577914	1	-	prmtr.5003	ENSG00000066827.11	TRUE
chr8	135607128	135607128	1	-	prmtr.5004	ENSG00000066827.11	FALSE
chr8	135612911	135612911	1	-	prmtr.5005	ENSG00000066827.11	FALSE
chr8	135649836	135649836	1	-	prmtr.5006	ENSG00000066827.11	TRUE
chr8	135652123	135652123	1	-	prmtr.5007	ENSG00000066827.11	FALSE
chr8	135708801	135708801	1	-	prmtr.5008	ENSG00000066827.11	FALSE
chr8	135725292	135725292	1	-	prmtr.5009	ENSG00000066827.11	FALSE
chr8	66556969	66556969	1	+	prmtr.5010	ENSG00000066855.11	FALSE
chr8	66582106	66582106	1	+	prmtr.5011	ENSG00000066855.11	TRUE
chr8	66591738	66591738	1	+	prmtr.5012	ENSG00000066855.11	FALSE
chr8	66619280	66619280	1	+	prmtr.5013	ENSG00000066855.11	TRUE
chr8	66620092	66620092	1	+	prmtr.5014	ENSG00000066855.11	TRUE
chr8	66637586	66637586	1	+	prmtr.5015	ENSG00000066855.11	FALSE
chr7	99775186	99775186	1	+	prmtr.5016	ENSG00000066923.13	FALSE
chr7	99779001	99779001	1	+	prmtr.5017	ENSG00000066923.13	FALSE
chr7	99795065	99795065	1	+	prmtr.5018	ENSG00000066923.13	FALSE
chr7	99795425	99795425	1	+	prmtr.5019	ENSG00000066923.13	TRUE
chr7	99797761	99797761	1	+	prmtr.5020	ENSG00000066923.13	TRUE
chr7	99802896	99802896	1	+	prmtr.5021	ENSG00000066923.13	TRUE
chr7	99809282	99809282	1	+	prmtr.5022	ENSG00000066923.13	TRUE
chr18	55226447	55226447	1	-	prmtr.5023	ENSG00000066926.6	TRUE
chr18	55254004	55254004	1	-	prmtr.5024	ENSG00000066926.6	FALSE
chr15	72144697	72144697	1	-	prmtr.5025	ENSG00000066933.11	TRUE
chr15	72146753	72146753	1	-	prmtr.5026	ENSG00000066933.11	TRUE
chr15	72180948	72180948	1	-	prmtr.5027	ENSG00000066933.11	TRUE
chr15	72191179	72191179	1	-	prmtr.5028	ENSG00000066933.11	TRUE
chr15	72231352	72231352	1	-	prmtr.5029	ENSG00000066933.11	TRUE
chr15	72246033	72246033	1	-	prmtr.5030	ENSG00000066933.11	FALSE
chr15	72252744	72252744	1	-	prmtr.5031	ENSG00000066933.11	TRUE
chr15	72260419	72260419	1	-	prmtr.5032	ENSG00000066933.11	TRUE
chr15	72338977	72338977	1	-	prmtr.5033	ENSG00000066933.11	TRUE
chr15	72410422	72410422	1	-	prmtr.5034	ENSG00000066933.11	FALSE
chr15	72410564	72410564	1	-	prmtr.5035	ENSG00000066933.11	FALSE
chr15	72410918	72410918	1	-	prmtr.5036	ENSG00000066933.11	FALSE
chrY	15016019	15016019	1	+	prmtr.5037	ENSG00000067048.12	FALSE
chrY	15016742	15016742	1	+	prmtr.5038	ENSG00000067048.12	TRUE
chrY	15017649	15017649	1	+	prmtr.5039	ENSG00000067048.12	FALSE
chrY	15024552	15024552	1	+	prmtr.5040	ENSG00000067048.12	TRUE
chrY	15027408	15027408	1	+	prmtr.5041	ENSG00000067048.12	TRUE
chr10	3108525	3108525	1	+	prmtr.5042	ENSG00000067057.12	FALSE
chr10	3109712	3109712	1	+	prmtr.5043	ENSG00000067057.12	FALSE
chr10	3110819	3110819	1	+	prmtr.5044	ENSG00000067057.12	FALSE
chr10	3111425	3111425	1	+	prmtr.5045	ENSG00000067057.12	TRUE
chr10	3112437	3112437	1	+	prmtr.5046	ENSG00000067057.12	FALSE
chr10	3146916	3146916	1	+	prmtr.5047	ENSG00000067057.12	TRUE
chr10	3155650	3155650	1	+	prmtr.5048	ENSG00000067057.12	TRUE
chr10	3171199	3171199	1	+	prmtr.5049	ENSG00000067057.12	TRUE
chr10	3175427	3175427	1	+	prmtr.5050	ENSG00000067057.12	TRUE
chr10	1095110	1095110	1	-	prmtr.5051	ENSG00000067064.6	FALSE
chr2	231280657	231280657	1	+	prmtr.5052	ENSG00000067066.12	FALSE
chr2	231281471	231281471	1	+	prmtr.5053	ENSG00000067066.12	FALSE
chr2	231314090	231314090	1	+	prmtr.5054	ENSG00000067066.12	TRUE
chr2	231327150	231327150	1	+	prmtr.5055	ENSG00000067066.12	TRUE
chr2	231328333	231328333	1	+	prmtr.5056	ENSG00000067066.12	TRUE
chr2	231333547	231333547	1	+	prmtr.5057	ENSG00000067066.12	TRUE
chr2	231337832	231337832	1	+	prmtr.5058	ENSG00000067066.12	TRUE
chr2	231368932	231368932	1	+	prmtr.5059	ENSG00000067066.12	TRUE
chr2	231372861	231372861	1	+	prmtr.5060	ENSG00000067066.12	TRUE
chr2	231402357	231402357	1	+	prmtr.5061	ENSG00000067066.12	TRUE
chr10	3822688	3822688	1	-	prmtr.5062	ENSG00000067082.10	TRUE
chr10	3824243	3824243	1	-	prmtr.5063	ENSG00000067082.10	FALSE
chr10	3827473	3827473	1	-	prmtr.5064	ENSG00000067082.10	FALSE
chr5	54764118	54764118	1	-	prmtr.5065	ENSG00000067113.12	TRUE
chr5	54830878	54830878	1	-	prmtr.5066	ENSG00000067113.12	FALSE
chr15	73344051	73344051	1	+	prmtr.5067	ENSG00000067141.12	FALSE
chr15	73344825	73344825	1	+	prmtr.5068	ENSG00000067141.12	TRUE
chr15	73414975	73414975	1	+	prmtr.5069	ENSG00000067141.12	TRUE
chr15	73428326	73428326	1	+	prmtr.5070	ENSG00000067141.12	TRUE
chr15	73514034	73514034	1	+	prmtr.5071	ENSG00000067141.12	FALSE
chr15	73514260	73514260	1	+	prmtr.5072	ENSG00000067141.12	FALSE
chr15	73547058	73547058	1	+	prmtr.5073	ENSG00000067141.12	TRUE
chr15	73581415	73581415	1	+	prmtr.5074	ENSG00000067141.12	TRUE
chr15	73590640	73590640	1	+	prmtr.5075	ENSG00000067141.12	TRUE
chr8	71520013	71520013	1	-	prmtr.5076	ENSG00000067167.3	FALSE
chr8	71520622	71520622	1	-	prmtr.5077	ENSG00000067167.3	TRUE
chrX	71934167	71934167	1	-	prmtr.5078	ENSG00000067177.10	FALSE
chr12	6440547	6440547	1	-	prmtr.5079	ENSG00000067182.3	TRUE
chr12	6442271	6442271	1	-	prmtr.5080	ENSG00000067182.3	FALSE
chr12	6442608	6442608	1	-	prmtr.5081	ENSG00000067182.3	TRUE
chr12	6443410	6443410	1	-	prmtr.5082	ENSG00000067182.3	TRUE
chr12	6451280	6451280	1	-	prmtr.5083	ENSG00000067182.3	FALSE
chr17	37334523	37334523	1	-	prmtr.5084	ENSG00000067191.11	TRUE
chr17	37343692	37343692	1	-	prmtr.5085	ENSG00000067191.11	FALSE
chr17	37350136	37350136	1	-	prmtr.5086	ENSG00000067191.11	TRUE
chr17	37351324	37351324	1	-	prmtr.5087	ENSG00000067191.11	TRUE
chr17	37351522	37351522	1	-	prmtr.5088	ENSG00000067191.11	FALSE
chr17	37353956	37353956	1	-	prmtr.5089	ENSG00000067191.11	FALSE
chr1	93091491	93091491	1	-	prmtr.5090	ENSG00000067208.10	TRUE
chr1	93131512	93131512	1	-	prmtr.5091	ENSG00000067208.10	TRUE
chr1	93142775	93142775	1	-	prmtr.5092	ENSG00000067208.10	TRUE
chr1	93250663	93250663	1	-	prmtr.5093	ENSG00000067208.10	FALSE
chr1	93257961	93257961	1	-	prmtr.5094	ENSG00000067208.10	FALSE
chr15	74278841	74278841	1	-	prmtr.5095	ENSG00000067221.9	TRUE
chr15	74284175	74284175	1	-	prmtr.5096	ENSG00000067221.9	FALSE
chr15	74284689	74284689	1	-	prmtr.5097	ENSG00000067221.9	FALSE
chr15	74286963	74286963	1	-	prmtr.5098	ENSG00000067221.9	FALSE
chr15	72494394	72494394	1	-	prmtr.5099	ENSG00000067225.13	TRUE
chr15	72496900	72496900	1	-	prmtr.5100	ENSG00000067225.13	TRUE
chr15	72499195	72499195	1	-	prmtr.5101	ENSG00000067225.13	TRUE
chr15	72499508	72499508	1	-	prmtr.5102	ENSG00000067225.13	TRUE
chr15	72501303	72501303	1	-	prmtr.5103	ENSG00000067225.13	TRUE
chr15	72502367	72502367	1	-	prmtr.5104	ENSG00000067225.13	TRUE
chr15	72509792	72509792	1	-	prmtr.5105	ENSG00000067225.13	TRUE
chr15	72511766	72511766	1	-	prmtr.5106	ENSG00000067225.13	FALSE
chr15	72514872	72514872	1	-	prmtr.5107	ENSG00000067225.13	FALSE
chr15	72521017	72521017	1	-	prmtr.5108	ENSG00000067225.13	FALSE
chr15	72522063	72522063	1	-	prmtr.5109	ENSG00000067225.13	FALSE
chr15	72524164	72524164	1	-	prmtr.5110	ENSG00000067225.13	TRUE
chr5	54572188	54572188	1	-	prmtr.5111	ENSG00000067248.5	TRUE
chr5	54603550	54603550	1	-	prmtr.5112	ENSG00000067248.5	FALSE
chr1	94336553	94336553	1	-	prmtr.5113	ENSG00000067334.9	TRUE
chr1	94338925	94338925	1	-	prmtr.5114	ENSG00000067334.9	TRUE
chr1	94345474	94345474	1	-	prmtr.5115	ENSG00000067334.9	FALSE
chr16	8715540	8715540	1	+	prmtr.5116	ENSG00000067365.10	FALSE
chr16	8717459	8717459	1	+	prmtr.5117	ENSG00000067365.10	TRUE
chr16	8725104	8725104	1	+	prmtr.5118	ENSG00000067365.10	FALSE
chr16	8729025	8729025	1	+	prmtr.5119	ENSG00000067365.10	TRUE
chr16	8732964	8732964	1	+	prmtr.5120	ENSG00000067365.10	TRUE
chr16	8733091	8733091	1	+	prmtr.5121	ENSG00000067365.10	FALSE
chr16	8734988	8734988	1	+	prmtr.5122	ENSG00000067365.10	TRUE
chr16	8735480	8735480	1	+	prmtr.5123	ENSG00000067365.10	FALSE
chr16	8735735	8735735	1	+	prmtr.5124	ENSG00000067365.10	TRUE
chr16	8736325	8736325	1	+	prmtr.5125	ENSG00000067365.10	TRUE
chr16	8738294	8738294	1	+	prmtr.5126	ENSG00000067365.10	TRUE
chr15	43705484	43705484	1	-	prmtr.5127	ENSG00000067369.9	FALSE
chr15	43709414	43709414	1	-	prmtr.5128	ENSG00000067369.9	TRUE
chr15	43712572	43712572	1	-	prmtr.5129	ENSG00000067369.9	TRUE
chr15	43713255	43713255	1	-	prmtr.5130	ENSG00000067369.9	TRUE
chr15	43720314	43720314	1	-	prmtr.5131	ENSG00000067369.9	TRUE
chr15	43730605	43730605	1	-	prmtr.5132	ENSG00000067369.9	FALSE
chr15	43748529	43748529	1	-	prmtr.5133	ENSG00000067369.9	TRUE
chr15	43785369	43785369	1	-	prmtr.5134	ENSG00000067369.9	FALSE
chr15	43802926	43802926	1	-	prmtr.5135	ENSG00000067369.9	FALSE
chrX	54946895	54946895	1	+	prmtr.5136	ENSG00000067445.16	FALSE
chrX	54947517	54947517	1	+	prmtr.5137	ENSG00000067445.16	FALSE
chrX	54947821	54947821	1	+	prmtr.5138	ENSG00000067445.16	FALSE
chrX	54948410	54948410	1	+	prmtr.5139	ENSG00000067445.16	FALSE
chrX	54950811	54950811	1	+	prmtr.5140	ENSG00000067445.16	TRUE
chrX	54953255	54953255	1	+	prmtr.5141	ENSG00000067445.16	TRUE
chrX	54953718	54953718	1	+	prmtr.5142	ENSG00000067445.16	TRUE
chr1	218458629	218458629	1	+	prmtr.5143	ENSG00000067533.5	FALSE
chr3	49449635	49449635	1	-	prmtr.5144	ENSG00000067560.6	FALSE
chr3	49450431	49450431	1	-	prmtr.5145	ENSG00000067560.6	FALSE
chr17	41561233	41561233	1	+	prmtr.5146	ENSG00000067596.6	FALSE
chr17	41568562	41568562	1	+	prmtr.5147	ENSG00000067596.6	TRUE
chr17	41598764	41598764	1	+	prmtr.5148	ENSG00000067596.6	TRUE
chr17	41599520	41599520	1	+	prmtr.5149	ENSG00000067596.6	FALSE
chr7	66767894	66767894	1	-	prmtr.5150	ENSG00000067601.6	FALSE
chr1	1981909	1981909	1	+	prmtr.5151	ENSG00000067606.11	FALSE
chr1	1982247	1982247	1	+	prmtr.5152	ENSG00000067606.11	FALSE
chr1	1986880	1986880	1	+	prmtr.5153	ENSG00000067606.11	TRUE
chr1	1987118	1987118	1	+	prmtr.5154	ENSG00000067606.11	FALSE
chr1	2004901	2004901	1	+	prmtr.5155	ENSG00000067606.11	FALSE
chr1	2005425	2005425	1	+	prmtr.5156	ENSG00000067606.11	FALSE
chr1	2006127	2006127	1	+	prmtr.5157	ENSG00000067606.11	FALSE
chr1	2006294	2006294	1	+	prmtr.5158	ENSG00000067606.11	FALSE
chr1	2006683	2006683	1	+	prmtr.5159	ENSG00000067606.11	FALSE
chr1	2013687	2013687	1	+	prmtr.5160	ENSG00000067606.11	FALSE
chr1	2036155	2036155	1	+	prmtr.5161	ENSG00000067606.11	FALSE
chr1	2043093	2043093	1	+	prmtr.5162	ENSG00000067606.11	FALSE
chr1	2047644	2047644	1	+	prmtr.5163	ENSG00000067606.11	FALSE
chr1	2065077	2065077	1	+	prmtr.5164	ENSG00000067606.11	FALSE
chr1	2066252	2066252	1	+	prmtr.5165	ENSG00000067606.11	FALSE
chr1	2066701	2066701	1	+	prmtr.5166	ENSG00000067606.11	TRUE
chr1	2075890	2075890	1	+	prmtr.5167	ENSG00000067606.11	FALSE
chr1	2076796	2076796	1	+	prmtr.5168	ENSG00000067606.11	TRUE
chr1	2100287	2100287	1	+	prmtr.5169	ENSG00000067606.11	TRUE
chrY	2803112	2803112	1	+	prmtr.5170	ENSG00000067646.7	FALSE
chrY	2803518	2803518	1	+	prmtr.5171	ENSG00000067646.7	FALSE
chrY	2845860	2845860	1	+	prmtr.5172	ENSG00000067646.7	TRUE
chr1	220267444	220267444	1	+	prmtr.5173	ENSG00000067704.8	FALSE
chr1	220287793	220287793	1	+	prmtr.5174	ENSG00000067704.8	TRUE
chr1	220310984	220310984	1	+	prmtr.5175	ENSG00000067704.8	TRUE
chr1	220313523	220313523	1	+	prmtr.5176	ENSG00000067704.8	TRUE
chr12	79257773	79257773	1	+	prmtr.5177	ENSG00000067715.9	FALSE
chr12	79258449	79258449	1	+	prmtr.5178	ENSG00000067715.9	TRUE
chr12	79262490	79262490	1	+	prmtr.5179	ENSG00000067715.9	FALSE
chr12	79357815	79357815	1	+	prmtr.5180	ENSG00000067715.9	FALSE
chr12	79371302	79371302	1	+	prmtr.5181	ENSG00000067715.9	TRUE
chr12	79439411	79439411	1	+	prmtr.5182	ENSG00000067715.9	FALSE
chr12	79440098	79440098	1	+	prmtr.5183	ENSG00000067715.9	FALSE
chr12	79685579	79685579	1	+	prmtr.5184	ENSG00000067715.9	FALSE
chr12	78224685	78224685	1	+	prmtr.5185	ENSG00000067798.9	FALSE
chr12	78334047	78334047	1	+	prmtr.5186	ENSG00000067798.9	TRUE
chr12	78360056	78360056	1	+	prmtr.5187	ENSG00000067798.9	TRUE
chr12	78400958	78400958	1	+	prmtr.5188	ENSG00000067798.9	FALSE
chr12	78511824	78511824	1	+	prmtr.5189	ENSG00000067798.9	TRUE
chr12	78516042	78516042	1	+	prmtr.5190	ENSG00000067798.9	FALSE
chr12	78573200	78573200	1	+	prmtr.5191	ENSG00000067798.9	TRUE
chr12	78574657	78574657	1	+	prmtr.5192	ENSG00000067798.9	TRUE
chr12	78592856	78592856	1	+	prmtr.5193	ENSG00000067798.9	TRUE
chrX	153053008	153053008	1	-	prmtr.5194	ENSG00000067829.14	TRUE
chrX	153055245	153055245	1	-	prmtr.5195	ENSG00000067829.14	FALSE
chrX	153059978	153059978	1	-	prmtr.5196	ENSG00000067829.14	FALSE
chr16	4852185	4852185	1	-	prmtr.5197	ENSG00000067836.8	TRUE
chr16	4852951	4852951	1	-	prmtr.5198	ENSG00000067836.8	TRUE
chrX	153073594	153073594	1	-	prmtr.5199	ENSG00000067840.8	FALSE
chrX	153095125	153095125	1	-	prmtr.5200	ENSG00000067840.8	FALSE
chrX	153095351	153095351	1	-	prmtr.5201	ENSG00000067840.8	FALSE
chrX	153095598	153095598	1	-	prmtr.5202	ENSG00000067840.8	FALSE
chrX	153096020	153096020	1	-	prmtr.5203	ENSG00000067840.8	FALSE
chrX	152783134	152783134	1	+	prmtr.5204	ENSG00000067842.13	FALSE
chrX	152798392	152798392	1	+	prmtr.5205	ENSG00000067842.13	FALSE
chrX	152801580	152801580	1	+	prmtr.5206	ENSG00000067842.13	TRUE
chrX	152822404	152822404	1	+	prmtr.5207	ENSG00000067842.13	TRUE
chrX	152835106	152835106	1	+	prmtr.5208	ENSG00000067842.13	FALSE
chr18	18534831	18534831	1	-	prmtr.5209	ENSG00000067900.6	TRUE
chr18	18535428	18535428	1	-	prmtr.5210	ENSG00000067900.6	TRUE
chr18	18549315	18549315	1	-	prmtr.5211	ENSG00000067900.6	TRUE
chr18	18562744	18562744	1	-	prmtr.5212	ENSG00000067900.6	TRUE
chr18	18629172	18629172	1	-	prmtr.5213	ENSG00000067900.6	TRUE
chr18	18691812	18691812	1	-	prmtr.5214	ENSG00000067900.6	FALSE
chr16	67063019	67063019	1	+	prmtr.5215	ENSG00000067955.9	FALSE
chr16	67063855	67063855	1	+	prmtr.5216	ENSG00000067955.9	FALSE
chr16	67070330	67070330	1	+	prmtr.5217	ENSG00000067955.9	TRUE
chr16	67115988	67115988	1	+	prmtr.5218	ENSG00000067955.9	TRUE
chr16	67127301	67127301	1	+	prmtr.5219	ENSG00000067955.9	FALSE
chrX	24483338	24483338	1	+	prmtr.5220	ENSG00000067992.8	FALSE
chrX	24512858	24512858	1	+	prmtr.5221	ENSG00000067992.8	TRUE
chr3	50360337	50360337	1	-	prmtr.5222	ENSG00000068001.9	TRUE
chr2	239988677	239988677	1	-	prmtr.5223	ENSG00000068024.12	TRUE
chr2	240002831	240002831	1	-	prmtr.5224	ENSG00000068024.12	TRUE
chr2	240024537	240024537	1	-	prmtr.5225	ENSG00000068024.12	FALSE
chr2	240029800	240029800	1	-	prmtr.5226	ENSG00000068024.12	TRUE
chr2	240062669	240062669	1	-	prmtr.5227	ENSG00000068024.12	FALSE
chr2	240076709	240076709	1	-	prmtr.5228	ENSG00000068024.12	FALSE
chr2	240077271	240077271	1	-	prmtr.5229	ENSG00000068024.12	FALSE
chr2	240112752	240112752	1	-	prmtr.5230	ENSG00000068024.12	FALSE
chr2	240158365	240158365	1	-	prmtr.5231	ENSG00000068024.12	TRUE
chr2	240220334	240220334	1	-	prmtr.5232	ENSG00000068024.12	FALSE
chr2	240230907	240230907	1	-	prmtr.5233	ENSG00000068024.12	FALSE
chr2	240322643	240322643	1	-	prmtr.5234	ENSG00000068024.12	FALSE
chr2	240322705	240322705	1	-	prmtr.5235	ENSG00000068024.12	FALSE
chr2	240323348	240323348	1	-	prmtr.5236	ENSG00000068024.12	FALSE
chr3	50374895	50374895	1	-	prmtr.5237	ENSG00000068028.13	FALSE
chr3	50375719	50375719	1	-	prmtr.5238	ENSG00000068028.13	FALSE
chr3	50378411	50378411	1	-	prmtr.5239	ENSG00000068028.13	FALSE
chr4	1795034	1795034	1	+	prmtr.5240	ENSG00000068078.13	FALSE
chr4	1795560	1795560	1	+	prmtr.5241	ENSG00000068078.13	TRUE
chr4	1803189	1803189	1	+	prmtr.5242	ENSG00000068078.13	TRUE
chr4	1803356	1803356	1	+	prmtr.5243	ENSG00000068078.13	TRUE
chr4	1806219	1806219	1	+	prmtr.5244	ENSG00000068078.13	TRUE
chr17	41158742	41158742	1	+	prmtr.5245	ENSG00000068079.3	FALSE
chr17	41164078	41164078	1	+	prmtr.5246	ENSG00000068079.3	TRUE
chr17	41164967	41164967	1	+	prmtr.5247	ENSG00000068079.3	TRUE
chr17	58125677	58125677	1	-	prmtr.5248	ENSG00000068097.10	TRUE
chr17	58132959	58132959	1	-	prmtr.5249	ENSG00000068097.10	TRUE
chr17	58153546	58153546	1	-	prmtr.5250	ENSG00000068097.10	TRUE
chr17	58156292	58156292	1	-	prmtr.5251	ENSG00000068097.10	FALSE
chr17	40713485	40713485	1	+	prmtr.5252	ENSG00000068120.10	TRUE
chr17	40714092	40714092	1	+	prmtr.5253	ENSG00000068120.10	TRUE
chr17	40717480	40717480	1	+	prmtr.5254	ENSG00000068120.10	TRUE
chr17	40821716	40821716	1	-	prmtr.5255	ENSG00000068137.10	TRUE
chr17	40826418	40826418	1	-	prmtr.5256	ENSG00000068137.10	TRUE
chr17	40828108	40828108	1	-	prmtr.5257	ENSG00000068137.10	FALSE
chr17	40829048	40829048	1	-	prmtr.5258	ENSG00000068137.10	FALSE
chr15	100017370	100017370	1	+	prmtr.5259	ENSG00000068305.13	FALSE
chr15	100105622	100105622	1	+	prmtr.5260	ENSG00000068305.13	FALSE
chr15	100105905	100105905	1	+	prmtr.5261	ENSG00000068305.13	FALSE
chr15	100106688	100106688	1	+	prmtr.5262	ENSG00000068305.13	FALSE
chr15	100246800	100246800	1	+	prmtr.5263	ENSG00000068305.13	TRUE
chrX	48793610	48793610	1	-	prmtr.5264	ENSG00000068308.9	TRUE
chrX	48814893	48814893	1	-	prmtr.5265	ENSG00000068308.9	FALSE
chrX	48815648	48815648	1	-	prmtr.5266	ENSG00000068308.9	FALSE
chrX	48889582	48889582	1	-	prmtr.5267	ENSG00000068323.12	TRUE
chrX	48895784	48895784	1	-	prmtr.5268	ENSG00000068323.12	TRUE
chrX	48897328	48897328	1	-	prmtr.5269	ENSG00000068323.12	FALSE
chrX	48901012	48901012	1	-	prmtr.5270	ENSG00000068323.12	FALSE
chrX	48397845	48397845	1	+	prmtr.5271	ENSG00000068354.11	FALSE
chrX	108877915	108877915	1	-	prmtr.5272	ENSG00000068366.15	FALSE
chrX	108902742	108902742	1	-	prmtr.5273	ENSG00000068366.15	FALSE
chrX	108912338	108912338	1	-	prmtr.5274	ENSG00000068366.15	TRUE
chrX	108935376	108935376	1	-	prmtr.5275	ENSG00000068366.15	FALSE
chrX	108976632	108976632	1	-	prmtr.5276	ENSG00000068366.15	FALSE
chr10	134351324	134351324	1	+	prmtr.5277	ENSG00000068383.14	FALSE
chr10	134421430	134421430	1	+	prmtr.5278	ENSG00000068383.14	TRUE
chr10	134503896	134503896	1	+	prmtr.5279	ENSG00000068383.14	TRUE
chr10	134523852	134523852	1	+	prmtr.5280	ENSG00000068383.14	TRUE
chr10	134579328	134579328	1	+	prmtr.5281	ENSG00000068383.14	TRUE
chrX	48980151	48980151	1	-	prmtr.5282	ENSG00000068394.9	FALSE
chrX	48837221	48837221	1	-	prmtr.5283	ENSG00000068400.9	FALSE
chrX	48845063	48845063	1	-	prmtr.5284	ENSG00000068400.9	TRUE
chrX	48847798	48847798	1	-	prmtr.5285	ENSG00000068400.9	TRUE
chrX	48855810	48855810	1	-	prmtr.5286	ENSG00000068400.9	TRUE
chrX	48855916	48855916	1	-	prmtr.5287	ENSG00000068400.9	TRUE
chrX	48858675	48858675	1	-	prmtr.5288	ENSG00000068400.9	FALSE
chrX	48334541	48334541	1	+	prmtr.5289	ENSG00000068438.10	FALSE
chrX	48336380	48336380	1	+	prmtr.5290	ENSG00000068438.10	TRUE
chrX	48337069	48337069	1	+	prmtr.5291	ENSG00000068438.10	TRUE
chrX	48337426	48337426	1	+	prmtr.5292	ENSG00000068438.10	TRUE
chrX	48339553	48339553	1	+	prmtr.5293	ENSG00000068438.10	TRUE
chrX	48339814	48339814	1	+	prmtr.5294	ENSG00000068438.10	TRUE
chrX	48340020	48340020	1	+	prmtr.5295	ENSG00000068438.10	TRUE
chr17	57232860	57232860	1	+	prmtr.5296	ENSG00000068489.8	FALSE
chr17	57274914	57274914	1	+	prmtr.5297	ENSG00000068489.8	TRUE
chr2	86482141	86482141	1	-	prmtr.5298	ENSG00000068615.12	TRUE
chr2	86509333	86509333	1	-	prmtr.5299	ENSG00000068615.12	TRUE
chr2	86564188	86564188	1	-	prmtr.5300	ENSG00000068615.12	FALSE
chr2	86564592	86564592	1	-	prmtr.5301	ENSG00000068615.12	FALSE
chr2	86564777	86564777	1	-	prmtr.5302	ENSG00000068615.12	FALSE
chr2	86565206	86565206	1	-	prmtr.5303	ENSG00000068615.12	FALSE
chr13	113344643	113344643	1	+	prmtr.5304	ENSG00000068650.14	FALSE
chr13	113351145	113351145	1	+	prmtr.5305	ENSG00000068650.14	FALSE
chr13	113357601	113357601	1	+	prmtr.5306	ENSG00000068650.14	FALSE
chr13	113439459	113439459	1	+	prmtr.5307	ENSG00000068650.14	TRUE
chr13	113490557	113490557	1	+	prmtr.5308	ENSG00000068650.14	TRUE
chr13	113496623	113496623	1	+	prmtr.5309	ENSG00000068650.14	TRUE
chr13	113505494	113505494	1	+	prmtr.5310	ENSG00000068650.14	FALSE
chr13	113526082	113526082	1	+	prmtr.5311	ENSG00000068650.14	TRUE
chr13	113527746	113527746	1	+	prmtr.5312	ENSG00000068650.14	TRUE
chr13	113530123	113530123	1	+	prmtr.5313	ENSG00000068650.14	FALSE
chr13	113534615	113534615	1	+	prmtr.5314	ENSG00000068650.14	TRUE
chr2	86255922	86255922	1	-	prmtr.5315	ENSG00000068654.11	TRUE
chr2	86264193	86264193	1	-	prmtr.5316	ENSG00000068654.11	FALSE
chr2	86266040	86266040	1	-	prmtr.5317	ENSG00000068654.11	TRUE
chr2	86267642	86267642	1	-	prmtr.5318	ENSG00000068654.11	FALSE
chr2	86292837	86292837	1	-	prmtr.5319	ENSG00000068654.11	TRUE
chr2	86333278	86333278	1	-	prmtr.5320	ENSG00000068654.11	FALSE
chr2	20235004	20235004	1	-	prmtr.5321	ENSG00000068697.6	TRUE
chr2	20251789	20251789	1	-	prmtr.5322	ENSG00000068697.6	FALSE
chr2	47143296	47143296	1	+	prmtr.5323	ENSG00000068724.11	FALSE
chr2	47168313	47168313	1	+	prmtr.5324	ENSG00000068724.11	FALSE
chr2	47177560	47177560	1	+	prmtr.5325	ENSG00000068724.11	TRUE
chr2	47205257	47205257	1	+	prmtr.5326	ENSG00000068724.11	FALSE
chr2	47205879	47205879	1	+	prmtr.5327	ENSG00000068724.11	TRUE
chr2	47221370	47221370	1	+	prmtr.5328	ENSG00000068724.11	TRUE
chr2	47233071	47233071	1	+	prmtr.5329	ENSG00000068724.11	TRUE
chr2	47261294	47261294	1	+	prmtr.5330	ENSG00000068724.11	FALSE
chr2	47273454	47273454	1	+	prmtr.5331	ENSG00000068724.11	TRUE
chr3	48730768	48730768	1	-	prmtr.5332	ENSG00000068745.10	TRUE
chr3	48733021	48733021	1	-	prmtr.5333	ENSG00000068745.10	TRUE
chr3	48752962	48752962	1	-	prmtr.5334	ENSG00000068745.10	TRUE
chr3	48754711	48754711	1	-	prmtr.5335	ENSG00000068745.10	TRUE
chr3	48777786	48777786	1	-	prmtr.5336	ENSG00000068745.10	FALSE
chr2	48757064	48757064	1	+	prmtr.5337	ENSG00000068781.16	FALSE
chr2	48796159	48796159	1	+	prmtr.5338	ENSG00000068781.16	FALSE
chr2	48807724	48807724	1	+	prmtr.5339	ENSG00000068781.16	TRUE
chr2	48996093	48996093	1	+	prmtr.5340	ENSG00000068781.16	FALSE
chr2	45675234	45675234	1	-	prmtr.5341	ENSG00000068784.8	FALSE
chr2	45776211	45776211	1	-	prmtr.5342	ENSG00000068784.8	FALSE
chr2	45795160	45795160	1	-	prmtr.5343	ENSG00000068784.8	FALSE
chr2	45838420	45838420	1	-	prmtr.5344	ENSG00000068784.8	TRUE
chr2	45839304	45839304	1	-	prmtr.5345	ENSG00000068784.8	FALSE
chr15	22892005	22892005	1	+	prmtr.5346	ENSG00000068793.13	FALSE
chr15	22892663	22892663	1	+	prmtr.5347	ENSG00000068793.13	FALSE
chr15	22926081	22926081	1	+	prmtr.5348	ENSG00000068793.13	TRUE
chr15	22947053	22947053	1	+	prmtr.5349	ENSG00000068793.13	TRUE
chr15	22955159	22955159	1	+	prmtr.5350	ENSG00000068793.13	FALSE
